round,test_loss,test_accuracy,eval_time_s
309,1.431713,0.674800,2.669926
310,1.436190,0.672000,2.728508
311,1.422546,0.672500,2.735151
312,1.426484,0.672700,2.684978
313,1.444171,0.670900,2.652303
314,1.464268,0.671500,2.760559
315,1.446204,0.673800,2.700319
316,1.453455,0.673600,2.651424
317,1.462446,0.674500,2.644063
318,1.467412,0.673400,2.624987
319,1.449036,0.674800,2.626119
320,1.455463,0.674000,2.749938
321,1.462674,0.673700,2.671668
322,1.452128,0.671400,2.215175
323,1.465303,0.673200,2.269173
324,1.465219,0.670600,2.673219
325,1.449691,0.675000,2.643383
326,1.469250,0.674100,2.651489
327,1.475862,0.675500,2.652629
328,1.456254,0.672100,2.792780
329,1.495051,0.671800,2.673844
330,1.490531,0.674300,2.665125
331,1.501830,0.671500,2.665748
332,1.491985,0.672400,2.655382
333,1.517821,0.676600,2.740092
334,1.513139,0.676200,2.627282
335,1.516208,0.677300,2.637041
336,1.515346,0.670500,2.140881
337,1.497910,0.673200,2.271900
338,1.498913,0.674400,2.653088
339,1.528903,0.675100,2.656896
340,1.514500,0.675200,2.846582
341,1.544524,0.670300,2.634232
342,1.522411,0.673400,2.636245
343,1.546288,0.670700,2.703333
344,1.529825,0.674300,2.648056
345,1.541770,0.673400,2.758672
346,1.559991,0.677600,2.638766
347,1.534055,0.677200,2.670874
348,1.524323,0.673600,2.624951
349,1.546939,0.675200,2.636663
350,1.553252,0.670700,2.562762
351,1.548490,0.677500,2.327514
352,1.558748,0.672600,2.636541
353,1.558136,0.675000,2.632402
354,1.551030,0.677100,2.628942
355,1.558581,0.675800,2.670743
356,1.574618,0.675900,2.696850
357,1.586326,0.673900,2.632321
358,1.579029,0.675200,2.701796
359,1.580496,0.677600,2.638968
360,1.586254,0.675800,2.622501
361,1.578034,0.678800,2.624473
362,1.576337,0.674900,2.180565
363,1.583566,0.674800,2.459125
364,1.597908,0.676000,2.644018
365,1.585653,0.675300,2.640316
366,1.599026,0.676900,2.905147
367,1.599496,0.676900,2.653245
368,1.608865,0.676900,2.631080
369,1.603579,0.674600,2.654271
370,1.602835,0.676000,2.636139
371,1.606104,0.673000,2.807938
372,1.621444,0.679000,2.720646
373,1.610495,0.677200,2.668848
374,1.609856,0.678200,2.426362
375,1.635044,0.677800,2.164110
376,1.625958,0.676400,2.338842
377,1.635188,0.676500,2.641384
378,1.632904,0.679200,2.656104
379,1.628429,0.674900,2.647562
380,1.627779,0.672700,2.614249
381,1.626811,0.675900,2.627708
382,1.636672,0.676900,2.642515
383,1.631751,0.678600,2.622250
384,1.630909,0.680200,2.619430
385,1.621210,0.680100,2.629361
386,1.644888,0.678400,2.629427
387,1.654895,0.674900,2.640741
388,1.681100,0.677000,2.668992
389,1.679938,0.674300,2.176037
390,1.684183,0.674100,2.413403
391,1.678068,0.675800,2.561061
392,1.661729,0.678700,2.646076
393,1.678410,0.674100,2.646045
394,1.679669,0.674000,2.710834
395,1.676612,0.675500,2.639368
396,1.678715,0.678100,2.644594
397,1.690489,0.673900,2.651081
398,1.685727,0.675300,2.655762
399,1.695719,0.673000,2.671194
400,1.677987,0.677100,2.632231
401,1.689783,0.676100,2.697459
402,1.693171,0.676400,2.681346
403,1.699667,0.676000,2.229938
404,1.694502,0.675800,2.329472
405,1.702967,0.678200,2.668205
406,1.700280,0.675400,2.655110
407,1.702300,0.675800,2.799160
408,1.709676,0.681100,2.627733
409,1.707590,0.676800,2.784647
410,1.707945,0.673600,2.645938
411,1.717774,0.676100,2.641395
412,1.693941,0.675300,2.642924
413,1.691129,0.677100,2.631508
414,1.718095,0.674400,2.711307
415,1.719307,0.678400,2.623851
416,1.728119,0.679100,2.253869
417,1.741484,0.673500,2.441466
418,1.748507,0.675200,2.645799
419,1.724270,0.674600,2.773114
420,1.724297,0.675200,2.757731
421,1.742863,0.675400,2.651341
422,1.742513,0.675300,2.631176
423,1.747148,0.674100,2.865071
424,1.769378,0.676300,2.641997
425,1.767476,0.675700,2.639324
426,1.770037,0.677700,2.647567
427,1.785424,0.676300,2.845239
428,1.788704,0.673500,2.176066
429,1.772853,0.673200,2.602233
430,1.794610,0.672700,2.645993
431,1.771768,0.674000,2.674964
432,1.775371,0.676200,2.727564
433,1.768092,0.676900,2.631113
434,1.762777,0.678300,2.694314
435,1.792526,0.679400,2.625930
436,1.789135,0.676300,2.631708
437,1.785517,0.677500,2.626114
438,1.769523,0.677800,2.111827
439,1.779339,0.677700,2.190146
440,1.797621,0.674200,2.621265
441,1.789545,0.675200,2.651106
442,1.807195,0.677400,2.677699
443,1.798415,0.677000,2.639647
444,1.811998,0.674600,2.642980
445,1.802522,0.676100,2.642488
446,1.809104,0.676400,2.649721
447,1.811541,0.676400,2.634291
448,1.804377,0.679600,2.636401
449,1.791502,0.678100,2.660837
450,1.823208,0.676000,2.825172
451,1.821726,0.677700,2.645281
452,1.827673,0.677500,2.637212
453,1.816712,0.674500,2.266960
454,1.823539,0.677000,2.201481
455,1.817645,0.675400,2.468634
456,1.816761,0.678500,2.638777
457,1.849192,0.676600,2.790813
458,1.833695,0.678900,2.638834
459,1.831121,0.673000,2.658054
460,1.838166,0.676300,2.624473
461,1.851211,0.675700,2.643395
462,1.840341,0.673000,2.761962
463,1.843441,0.675800,2.618717
464,1.837481,0.673400,2.687545
465,1.827317,0.680000,2.645635
466,1.835117,0.678100,2.738516
467,1.858721,0.676800,2.637995
468,1.846030,0.676800,2.678676
469,1.859955,0.675700,2.640778
470,1.837207,0.680200,2.634474
471,1.848033,0.678500,2.394310
472,1.834190,0.678400,2.425685
473,1.859226,0.678500,2.644022
474,1.843154,0.672400,2.641023
475,1.831054,0.676500,2.634985
476,1.857778,0.674000,2.644274
477,1.852956,0.673500,2.627533
478,1.856249,0.679100,2.647787
479,1.877062,0.677200,2.681406
480,1.877470,0.675100,2.659234
481,1.879458,0.676200,2.640166
482,1.881709,0.678200,2.697652
483,1.884376,0.677600,2.634969
484,1.876715,0.679600,2.625484
485,1.878888,0.678100,2.640132
486,1.872280,0.679000,2.158719
487,1.878821,0.676300,2.327180
488,1.893027,0.676800,2.650935
489,1.883813,0.675400,2.643764
490,1.884061,0.676900,2.628817
491,1.896473,0.677000,2.644285
492,1.914003,0.676700,2.651873
493,1.869205,0.679700,2.637168
494,1.886462,0.679100,2.626732
495,1.890909,0.680300,2.627826
496,1.885754,0.678600,2.620458
497,1.901690,0.678300,2.681670
498,1.898049,0.680700,2.621618
499,1.902348,0.677400,2.612159
500,1.902597,0.680600,2.626200
